token,community,size,mean_cosine_to_own_others,nearest_other_community,cosine_margin,cosine_silhouette,hsk_levels,pinyin,dictionary_translation,dictionary_translation_source,repeat_cluster_match_fraction
不经意,4,7,0.46506786523653654,532,0.09029781995608,0.14442337459116858,7-9,bùjīngyì,not paying attention; carelessly; by accident,Translation,0.75
一不小心,4,7,0.4601155906124889,133,0.0836730688019573,0.13418661747896354,7-9,yī bù xiǎoxīn,to be a little bit careless; to have a moment of inattentiveness,Translation,0.5
无形中,4,7,0.40653480162593075,805,-0.021017302370346103,-0.035414549038305466,7-9,wúxíngzhōng,imperceptibly; virtually,Translation,0.75
不慎,4,7,0.39508187291863844,970,0.04121857402566359,0.06379234294390633,7-9,bùshèn,incautious; inattentive,Translation,0.25
不料,4,7,0.37199921255169394,160,-0.0049297725671720305,-0.007849946474116118,6,bùliào,unexpectedly; to one's surprise,Translation,0.5
潜移默化,4,7,0.3408373337252783,1106,-0.03512042350929506,-0.05328035901635506,7-9,qiányí-mòhuà,imperceptible influence; to influence secretly,Translation,0.75
一鼓作气,5,3,0.5515205285843952,649,0.1920896790322406,0.29987344675893873,7-9,yīgǔ-zuòqì,in a spurt of energy,Translation,0.5
一口气,5,3,0.48700749474101457,824,0.09336250620417985,0.1539733397748151,5,yīkǒuqì,one breath; in one breath; at a stretch,Translation,1.0
一举,5,3,0.4659360620703068,702,0.1014128002847996,0.15958538556382165,7-9,yījǔ,a move; an action; in one move; at a stroke; in one go,Translation,0.5
一言一行,6,4,0.5795970002658796,1088,0.24458337225989812,0.36780208220883376,7-9,yīyán-yīxíng,every word and action (idiom),Translation,0.75
一举一动,6,4,0.5106900521246389,277,0.1514473446337179,0.2363568021843029,7-9,yījǔ-yīdòng,every movement; each and every move,Translation,0.75
所作所为,6,4,0.4207460861718349,535,0.05952942185756488,0.09319188296241378,7-9,suǒzuò-suǒwéi,one's conduct and deeds,Translation,0.75
一行,6,4,0.3282017709600354,432,-0.011275291265306409,-0.016783746633895497,6,yīxíng,party; delegation,Translation,0.5
无能为力,7,16,0.4664201098815666,718,0.04927232445638047,0.08453656557232812,7-9,wúnéngwéilì,impotent (idiom); powerless; helpless,Translation,1.0
精疲力竭,7,16,0.4472845085115858,1090,0.049791920945210066,0.08264117572278894,7-9,jīngpí-lìjié,"spirit weary, strength exhausted (idiom); spent; drained; washed out",Translation,0.5
无所事事,7,16,0.4434134800165925,23,0.043375237676504586,0.07229667078395997,7-9,wúsuǒshìshì,to have nothing to do; to idle one's time away (idiom),Translation,0.5
无精打采,7,16,0.42973693210690034,126,0.06761755544750703,0.10600346361579562,7-9,wújīng-dǎcǎi,dispirited and downcast (idiom); listless; in low spirits; washed out,Translation,0.5
疲惫不堪,7,16,0.42861293215094065,1090,-0.00750316720666433,-0.013131496368843976,7-9,píbèi-bùkān,exhausted; fatigued to the extreme,Translation,0.5
一事无成,7,16,0.42468020079384833,661,0.04213207719574957,0.06823540231388937,7-9,yīshì-wúchéng,to have achieved nothing; to be a total failure; to get nowhere,Translation,0.5
一筹莫展,7,16,0.4196624119792592,1090,-0.03459400338786728,-0.059610137447500586,7-9,yīchóu-mòzhǎn,to be unable to find a solution; to be at wits' end,Translation,1.0
无所作为,7,16,0.41726751319388883,971,0.030977767624659702,0.05047620990689194,7-9,wúsuǒzuòwéi,attempting nothing and accomplishing nothing (idiom); without any initiative or drive; feckless,Translation,0.5
力不从心,7,16,0.4166268982814051,1090,0.029074309103319762,0.047472335729694004,7-9,lìbùcóngxīn,less capable than desirable (idiom); not as strong as one would wish; the spirit is willing but the flesh is weak,Translation,0.5
一无所有,7,16,0.4126912750490161,21,0.03964067475871763,0.06322786938957536,7-9,yīwúsuǒyǒu,not having anything at all (idiom); utterly lacking; without two sticks to rub together,Translation,0.5
走投无路,7,16,0.41103598275653813,1090,0.006816295771522263,0.011440955034294471,7-9,zǒutóu-wúlù,to be at an impasse (idiom); in a tight spot; at the end of one's rope; desperate,Translation,1.0
无力,7,16,0.40972433122351465,154,0.031440383517292114,0.0505703261180003,7-9,wúlì,powerless; lacking strength,Translation,0.5
无话可说,7,16,0.402721690903823,1184,-0.061409545172532,-0.10281562922561038,7-9,wúhuà-kěshuō,to have nothing to say (idiom),Translation,0.25
一无所知,7,16,0.38141241049382796,1184,-0.010256952289604049,-0.016581244861042857,7-9,yīwúsuǒzhī,not knowing anything at all (idiom); completely ignorant; without an inkling,Translation,0.5
无济于事,7,16,0.377708053439193,979,-0.03921797290510631,-0.06302182299136366,7-9,wújìyúshì,(idiom) to no avail; of no use,Translation,0.5
空虚,7,16,0.3752752302411319,1286,-0.05762844698398101,-0.09224613745701879,7-9,kōngxū,hollow; emptiness; meaningless,Translation,0.0
许多,8,21,0.5651736049993629,57,0.18083597115117256,0.2937258814136808,2,xǔduō,many; a lot of; much,Translation,0.75
一些,8,21,0.511426589042364,57,0.05445974186104385,0.1002880608271593,1,yīxiē; yǒu(yī)xiē,some; a few; a little; (following an adjective) slightly ...er; some; somewhat,Translation,0.75
诸多,8,21,0.5080158384948349,36,0.11789789520793914,0.1933126149723728,7-9,zhūduō,"(used for abstract things) a good deal, a lot of",Translation,0.5
众多,8,21,0.4897822977588385,951,0.1164206208274573,0.1857859893683982,5,zhòngduō,numerous,Translation,0.75
各种,8,21,0.475752270175086,340,0.0514883756171331,0.08943051361630457,3,gèzhǒng,every kind of; all kinds of; various,Translation,0.5
无数,8,21,0.47411576963138263,902,0.11394796825122516,0.17809039385172865,4,wúshù,countless; numberless; innumerable,Translation,1.0
不少,8,21,0.4714788496858443,57,0.0764292776948775,0.1263397365407538,2,bù shǎo,many; a lot; not few,Translation,0.75
各式各样,8,21,0.4672503647862013,340,-0.02624873542208117,-0.049270302008836184,7-9,gèshì-gèyàng,(of) all kinds and sorts; various,Translation,0.5
好多,8,21,0.4662238794996476,201,0.0675148803426957,0.11228320438529026,2,hǎoduō,many; quite a lot; much better,Translation,0.75
种种,8,21,0.4546708053080855,35,0.12101252731965167,0.1816073094662848,6,zhǒngzhǒng,all kinds of,Translation,0.5
一系列,8,21,0.4512314841906866,35,-0.033636595233217825,-0.061294688496498766,7-9,yīxìliè,a series of; a string of,Translation,0.5
大量,8,21,0.4501921057495942,588,0.017640334347235165,0.031087125588232817,2,dàliàng,great amount; large quantity; bulk; numerous; generous; magnanimous,Translation,0.75
大批,8,21,0.441174782580421,902,0.03385315067200423,0.0571189240144042,6,dàpī,large quantities of,Translation,0.75
这些,8,21,0.4258727488781897,103,-0.05187770149450621,-0.09035923898951023,1,zhèxiē,these,Translation,0.75
形形色色,8,21,0.4235031922401807,340,-0.01006519598346739,-0.017459239752912588,7-9,xíngxíngsèsè,all kinds of; all sorts of; every (different) kind of,Translation,0.5
那些,8,21,0.4203490708652584,371,0.03641710622940941,0.059112150183029157,1,nàxiē,those,Translation,0.75
一连串,8,21,0.3984746236007394,56,0.02132826034237756,0.03424281257143015,7-9,yīliánchuàn,a succession of; a series of,Translation,0.5
成千上万,8,21,0.39476618742898706,902,-0.025030040979826418,-0.04135598583545695,7-9,chéngqiān-shàngwàn,lit. by the thousands and tens of thousands (idiom); untold numbers; innumerable; thousands upon thousands,Translation,0.75
些,8,21,0.3875646398256133,201,-0.022568453769891472,-0.03685034411381025,4,xiē,"classifier indicating a small amount or small number greater than 1: some, a few, several",Translation,0.5
多种,8,21,0.3839367822152762,962,-0.035900096561274075,-0.058273397152918495,4,duō zhǒng,many kinds of; multiple; diverse; multi-,Translation,0.5
若干,8,21,0.3727872864772515,57,0.04857258959309624,0.07187577085376441,7-9,ruògān,a certain number or amount; how many?; how much?,Translation,0.5
一代,9,3,0.63453650266614,1151,0.27007567674603505,0.4249551998695257,6,yīdài,generation,Translation,1.0
代,9,3,0.5473302041249938,188,0.2280772660928435,0.3350396627985963,3,dài,to substitute; to act on behalf of others; to replace; generation; dynasty; age; period; (historical) era; (geological) eon,Translation,1.0
下一代,9,3,0.5450930538755901,1151,0.15712773233475763,0.2567301132843252,7-9,xià yī dài,the next generation,Translation,1.0
扭头,10,58,0.499254778755071,516,0.03377570284641013,0.06318873840874838,7-9,niǔtóu,to turn one's head; to turn around,Translation,1.0
摇头,10,58,0.49333991515118786,1184,0.07824103939015575,0.13376797572744886,5,yáotóu,to shake one's head,Translation,0.75
小声,10,58,0.4911156850471286,811,0.09522315436742584,0.1576261827627537,2,xiǎo shēng,in a low voice; (speak) in whispers,Translation,0.75
点头,10,58,0.47231065298650116,831,0.08723782564732879,0.14186692266312662,2,diǎntóu,to nod,Translation,1.0
坐下,10,58,0.45453500852062545,516,0.031566084475062706,0.05470430586923049,1,zuò xia,to sit down,Translation,1.0
咧嘴,10,58,0.45334753545826295,811,0.02585563215320924,0.04516203753706237,7-9,liězuǐ,to grin,Translation,0.75
走开,10,58,0.45149618397371677,811,0.02835211167948154,0.049149380838022824,2,zǒukāi,to leave; to walk away; to beat it; to move aside,Translation,1.0
大声,10,58,0.4504590328819082,546,-0.02418041266138099,-0.044001110214199494,2,dà shēng,loud voice; in a loud voice; loudly,Translation,0.75
一言不发,10,58,0.44848780564803176,1090,0.06354676417845778,0.10331816697750637,7-9,yīyán-bùfā,to not say a word (idiom),Translation,0.75
招呼,10,58,0.4453233439112345,546,0.03541567508227028,0.060017175637561704,4,zhāohu,to call out to; to greet; to say hello to; to inform; to take care of; to take care that one does not,Translation,0.75
瞪,10,58,0.44449064495520074,1355,0.014028224968475889,0.024630903141016455,7-9,dèng,to open (one's eyes) wide; to stare at; to glare at,Translation,0.75
笑,10,58,0.442540584924779,1288,0.053769199970326476,0.08796904897248586,1,xiào,old variant of 笑; to laugh; to smile; to laugh at,Translation,0.75
插嘴,10,58,0.44170621810008526,63,-0.014529071473584176,-0.026024061067169115,7-9,chāzuǐ,to interrupt (sb talking); to butt in; to cut into a conversation,Translation,0.25
一声不吭,10,58,0.4380364178057272,3,0.04219794853883574,0.06984547408642756,7-9,yīshēng-bùkēng,to not say a word,Translation,0.75
自言自语,10,58,0.43751746312378204,398,0.0482106198429898,0.07894409706830346,6,zìyán-zìyǔ,to talk to oneself; to think aloud; to soliloquize,Translation,0.5
一眼,10,58,0.4338731055605859,544,0.024310219799324906,0.04117325827436932,7-9,yīyǎn,a glance; a quick look; a glimpse,Translation,1.0
打岔,10,58,0.4292427551292171,1107,-0.054241185233713185,-0.09503372181634456,7-9,dǎchà,interruption; to interrupt (esp. talk); to change the subject,Translation,0.25
眉开眼笑,10,58,0.42745341856557134,126,-0.0043094853631853725,-0.007526872926895406,7-9,méikāi-yǎnxiào,"brows raised in delight, eyes laughing (idiom); beaming with joy; all smiles",Translation,0.75
神情,10,58,0.4265138842802661,277,-0.11591413238233156,-0.20212195065412802,5,shénqíng,look; expression,Translation,0.5
嬉笑,10,58,0.42629915165366633,63,0.006926384443659617,0.011929141542978163,7-9,xīxiào,to be laughing and playing; to giggle,Translation,0.75
愣,10,58,0.42548213085394126,871,0.042380250303556743,0.06869894552664155,7-9,lèng,to look distracted; to stare blankly; distracted; blank; (coll.) unexpectedly; rash; rashly,Translation,1.0
眼色,10,58,0.4247742503869012,277,0.03896760046357661,0.06344516829873187,7-9,yǎnsè,signal made with one's eyes; meaningful glance,Translation,1.0
示意,10,58,0.4232301836745043,108,0.02064610774676995,0.03455901812264459,7-9,shìyì,to hint; to indicate (an idea to sb),Translation,0.75
告辞,10,58,0.41895639698526765,872,-0.014176489901329026,-0.024398323684788215,7-9,gàocí,to say goodbye; to take one's leave,Translation,0.75
目不转睛,10,58,0.41893262186441915,180,0.007072483686547448,0.012025173169926011,7-9,mùbùzhuǎnjīng,unable to take one's eyes off (idiom); to gaze steadily; to stare,Translation,1.0
说道,10,58,0.4177259227908959,1311,-0.03176083949433667,-0.05454620210222906,7-9,shuōdao,to state; to say (the quoted words); to discuss; reason (behind sth),Translation,0.75
打量,10,58,0.4174834729307777,530,0.009003424751151234,0.015220830207744706,7-9,dǎliang,to size sb up; to look sb up and down; to take the measure of; to suppose; to reckon,Translation,1.0
脸色,10,58,0.416927157856034,277,0.005220948673294756,0.008874730202475608,5,liǎnsè,complexion; look,Translation,0.5
一动不动,10,58,0.4154807381675717,160,0.013317232613372476,0.02227571039422352,7-9,yīdòng-bùdòng,motionless,Translation,0.75
微笑,10,58,0.4145679808730549,277,0.009360525714821266,0.01573746308019288,4,wēixiào,smile; to smile,Translation,0.75
说话,10,58,0.411857911380162,811,-0.026980719534526132,-0.04587449199196136,1,shuōhuà,to speak; to say; to talk; to gossip; to tell stories; talk; word,Translation,0.25
招手,10,58,0.411751773386658,873,0.00987931731289704,0.016517074682846165,5,zhāoshǒu,to wave; to beckon,Translation,0.75
转身,10,58,0.41138341344840973,39,0.005724274292068177,0.009631298585028642,4,zhuǎnshēn,(of a person) to turn round; to face about; (of a widow) to remarry (archaic),Translation,1.0
嚷,10,58,0.41057257896069665,546,-0.04735017771120886,-0.08033249899999398,7-9,rǎng,to shout; to bellow; to make a big deal of sth; to make a fuss about sth,Translation,0.25
眨眼,10,58,0.40914329314210457,39,0.0016176047322992715,0.002730252942035062,7-9,zhǎyǎn,to blink; to wink; in the twinkling of an eye,Translation,1.0
低头,10,58,0.4083990528755183,516,-0.12097888444137622,-0.20449406822183536,6,dītóu,to bow the head; to yield; to give in,Translation,1.0
站住,10,58,0.4073519852784976,1288,-0.09946440189801609,-0.16783048188351135,2,zhànzhù,to stand,Translation,1.0
会意,10,58,0.40487287232183883,3,0.07848096677565047,0.11650834872951761,7-9,huìyì,"combined ideogram (one of the Six Methods 六书 of forming Chinese characters); Chinese character that combines the meanings of existing elements; also known as joint ideogram or associative compound; to comprehend without being told explicitly; to cotton on; knowing (smile, glance etc)",Translation,0.75
吩咐,10,58,0.40246041400702626,108,-0.0370838762971577,-0.06206095322627505,7-9,fēnfù,to tell; to instruct; to command,Translation,0.25
交头接耳,10,58,0.40202312498054144,63,-0.00682623357811335,-0.011415547763266205,7-9,jiāotóu-jiē'ěr,to whisper to one another's ear,Translation,1.0
反问,10,58,0.40173091168156316,316,-0.0329538119340832,-0.055081923130454444,6,fǎnwèn,to ask (a question) in reply; to answer a question with a question; rhetorical question,Translation,0.25
回头,10,58,0.4014608662984395,39,-0.051695962581870536,-0.08637022989986612,5,huítóu,to turn round; to turn one's head; later; by and by,Translation,1.0
伸手,10,58,0.39895224674329594,113,-0.020246623915578577,-0.033685549618769316,7-9,shēnshǒu,to reach out with one's hand; to hold out a hand; (fig.) to beg; to get involved; to meddle,Translation,0.75
皱,10,58,0.3988150558106614,703,0.004033287488670434,0.006664187028020971,7-9,zhòu,to wrinkle; wrinkled; to crease,Translation,0.0
口气,10,58,0.3986726790574913,277,-0.03615810574017714,-0.060130488805171335,7-9,kǒuqì,tone of voice; the way one speaks; manner of expression; tone,Translation,0.25
指着,10,58,0.3955925515490155,1082,0.024102311451969616,0.03834834872841301,6,zhǐzhe,Poke,Translation,0.75
一会儿,10,58,0.3913846612350021,678,-0.01645696159443516,-0.0270400046568489,1; 2,yīhuìr,a moment; a while; in a moment; now...now...; also pr. [yī huǐ r],Translation,0.75
打招呼,10,58,0.39087447041048085,346,-0.04238024837003673,-0.06957555760073982,7-9,dǎ zhāohu,to greet sb by word or action; to give prior notice,Translation,0.5
过头,10,58,0.3893845646361347,805,-0.06363851142129939,-0.10422027963210143,7-9,guòtóu,to overdo it; to overstep the limit; excessively; above one's head; overhead,Translation,1.0
东张西望,10,58,0.38912731619869784,516,0.010871114454618247,0.017484877991727977,7-9,dōngzhāng-xīwàng,to look in all directions (idiom); to glance around,Translation,1.0
停下,10,58,0.38780989979503155,530,0.016894874322390563,0.026856267446355615,4,tíngxia,to stop,Translation,1.0
递给,10,58,0.3873035302194437,350,-0.1971124420133749,-0.3217130369364995,5,dì gěi,to hand it (i.e. the aforementioned item) to (sb),Translation,0.5
沉默,10,58,0.38482135423696245,620,0.023711620655419485,0.03711376100366041,4,chénmò,taciturn; uncommunicative; silent,Translation,0.75
沉思,10,58,0.37875753341396107,1089,-0.016803386824533806,-0.027048033140546223,7-9,chénsī,to contemplate; to ponder; contemplation; meditation,Translation,0.25
左顾右盼,10,58,0.37843523734583534,516,-0.02310057169423424,-0.03716518870148263,7-9,zuǒgù-yòupàn,glancing to left and right (idiom); to look all around,Translation,1.0
前仰后合,10,58,0.37758728492588217,887,-0.0073418952193815,-0.01179586316533921,7-9,qiányǎng-hòuhé,to sway to and fro; to rock back and forth,Translation,0.75
