token,community,size,mean_cosine_to_own_others,nearest_other_community,cosine_margin,cosine_silhouette,max_membership,second_community,second_membership,membership_margin,normalized_membership_entropy,hsk_levels,pinyin,dictionary_translation,dictionary_translation_source,second_component_representatives,repeat_cluster_match_fraction
不必,0,37,0.37397498549083896,276,0.013815222698802143,0.02159167538304085,0.999999506567968,276,4.905845637894628e-7,0.9999990159834042,1.2812412588969506e-6,3,bùbì,need not; does not have to; not necessarily,Translation,要不 | 要不然 | 非得 | 不要 | 不然 | 免得 | 怕 | 别 | 想 | 何必 | 不用 | 干吗,0.0
愿意,0,37,0.3268145009820388,276,-0.022202966183617057,-0.03298194363367393,0.999999999986386,39,1.269622563285831e-11,0.9999999999736898,5.978407375520775e-11,2,yuànyì,to wish; to want; ready; willing (to do sth),Translation,尽力 | 尽快 | 尽早 | 设法 | 千方百计 | 想方设法 | 竭尽全力 | 全力 | 及早 | 竭力 | 力求 | 全力以赴,0.5
难免,0,37,0.32635122141970013,207,-0.03238092581550056,-0.048067964858101074,0.9999987729627119,229,1.2231703319858816e-6,0.9999975497923799,2.9966405349589236e-6,4,nánmiǎn,hard to avoid; difficult to escape from; will inevitably,Translation,反倒 | 也 | 确实 | 却 | 似乎 | 反而 | 竟然 | 倒是 | 的确 | 居然 | 不但 | 不仅,0.0
不易,0,37,0.32377221361153014,136,0.031724983164425125,0.044812287667807246,1.0,333,1.2520978106186695e-15,0.9999999999999988,1.1441345763022382e-14,5,bùyì,not easy to do sth; difficult; unchanging,Translation,弱 | 偏 | 少 | 差 | 淡 | 低 | 慢 | 略 | 高 | 暖 | 紧 | 强,0.0
不曾,0,37,0.3189006579199815,111,-0.009026647097006457,-0.013253055082155567,0.9999992184853354,207,7.650735957735037e-7,0.9999984534117395,1.9793200052794403e-6,5,bùcéng,hasn't yet; hasn't ever,Translation,常常 | 时常 | 经常 | 偶尔 | 成天 | 时不时 | 整天 | 有时 | 老是 | 总是 | 有时候 | 一天到晚,0.25
甘心,0,37,0.31199630823044583,224,-0.03041189725603277,-0.044203101843556955,0.9999999977345624,276,2.2237101077621582e-9,0.9999999955108523,7.939344332727584e-9,7-9,gānxīn,to be willing to; to resign oneself to,Translation,要不 | 要不然 | 非得 | 不要 | 不然 | 免得 | 怕 | 别 | 想 | 何必 | 不用 | 干吗,0.25
盲目,0,37,0.3110189717280722,197,-0.018774808953517685,-0.027250110210737925,1.0,10,1.1219695591103732e-15,0.9999999999999989,6.665862562017505e-15,7-9,mángmù,blind; blindly; ignorant; lacking understanding,Translation,诈骗 | 贿赂 | 受贿 | 贪污 | 敲诈 | 欺诈 | 违法 | 盗窃 | 非法 | 犯罪 | 假冒 | 倒卖,0.25
不再,0,37,0.3099414512159331,111,0.006761294378533789,0.00970307382155887,0.9999999920621576,220,7.935836543107813e-9,0.9999999841263211,2.6038729032863183e-8,6,bùzài,no more; no longer,Translation,应该 | 不一定 | 未必 | 迟早 | 不见得 | 照样 | 必然 | 必须 | 能 | 才能 | 只要 | 会,0.25
不容,0,37,0.309129260639745,108,0.012996041176395579,0.018463779703436104,1.0,220,1.1321885564367606e-16,0.9999999999999999,6.943451564826235e-16,7-9,bùróng,must not; cannot; to not allow; cannot tolerate,Translation,应该 | 不一定 | 未必 | 迟早 | 不见得 | 照样 | 必然 | 必须 | 能 | 才能 | 只要 | 会,0.25
无须,0,37,0.30636741857018573,276,0.04147385547981508,0.056418844125716294,0.9999997530628825,222,2.4326491568099216e-7,0.9999995097979668,6.714504974890426e-7,7-9,wúxū,need not; not obliged to; not necessarily,Translation,自行 | 随意 | 预先 | 酌情 | 事先 | 单独 | 定时 | 一律 | 随时 | 定期 | 即可 | 按时,0.0
勿,0,37,0.30336049692210953,276,0.03050906586786989,0.04195712839276135,0.999999999992994,276,6.990978688562263e-12,0.9999999999860031,3.1210381758579476e-11,7-9,wù,do not,Translation,要不 | 要不然 | 非得 | 不要 | 不然 | 免得 | 怕 | 别 | 想 | 何必 | 不用 | 干吗,0.25
一味,0,37,0.302332146715379,53,-0.019189937643860233,-0.027505836127483856,1.0,53,1.2749929812917013e-15,0.9999999999999988,7.304574451529583e-15,7-9,yīwèi,blindly; invariably,Translation,故意 | 公然 | 偷偷 | 私自 | 擅自 | 存心 | 执意 | 趁机 | 竟敢 | 强行 | 企图 | 暗中,0.5
过早,0,37,0.3006260376478225,208,0.014549738258201828,0.020379962516669944,1.0,220,5.586137727871219e-15,0.9999999999999944,3.0923077775079345e-14,7-9,guò zǎo,premature; untimely; (dialect) to have breakfast; breakfast,Translation,应该 | 不一定 | 未必 | 迟早 | 不见得 | 照样 | 必然 | 必须 | 能 | 才能 | 只要 | 会,0.25
不得已,0,37,0.29820906430353006,57,-0.06001073731383377,-0.08551084697934741,0.9999999461543198,57,5.384567356426113e-8,0.9999998923086462,1.594048455435099e-7,7-9,bùdéyǐ,to act against one's will; to have no alternative but to; to have to; to have no choice; must,Translation,赶忙 | 急忙 | 连忙 | 慌忙 | 赶紧 | 吩咐 | 立刻 | 告辞 | 赶快 | 匆匆 | 顾不得 | 当即,0.25
被迫,0,37,0.29708888685760143,53,-0.03107694029058722,-0.044211764061683825,0.9999999999970157,53,2.9912065127165244e-12,0.9999999999940246,1.3746299106280959e-11,4,bèipò,to be compelled; to be forced,Translation,故意 | 公然 | 偷偷 | 私自 | 擅自 | 存心 | 执意 | 趁机 | 竟敢 | 强行 | 企图 | 暗中,0.25
以免,0,37,0.29592632135842994,276,-0.015109720795718151,-0.021460425597602976,0.9999999997325801,276,2.6709750328090904e-10,0.9999999994654827,1.0289239424376884e-9,7-9,yǐmiǎn,in order to avoid; so as not to,Translation,要不 | 要不然 | 非得 | 不要 | 不然 | 免得 | 怕 | 别 | 想 | 何必 | 不用 | 干吗,0.0
丝毫,0,37,0.28889242108031205,111,-0.06588369186861992,-0.09264940189318491,0.9999999978588932,220,2.1088266932559094e-9,0.9999999957500665,7.524953528696735e-9,7-9,sīháo,the slightest amount or degree; a bit,Translation,应该 | 不一定 | 未必 | 迟早 | 不见得 | 照样 | 必然 | 必须 | 能 | 才能 | 只要 | 会,0.25
勉强,0,37,0.2849862816724943,57,-0.004230011757785368,-0.005915986853622644,1.0,224,3.932955626433557e-18,1.0,3.0601852649897186e-17,7-9,miǎnqiǎng,to do with difficulty; to force sb to do sth; reluctant; barely enough,Translation,羞愧 | 惭愧 | 气愤 | 难过 | 心疼 | 伤心 | 惋惜 | 难为情 | 痛心 | 委屈 | 难堪 | 生气,0.5
乐意,0,37,0.2833214704594339,224,-0.055955269187478895,-0.07807582741923288,0.999999999999929,224,7.583944319159372e-14,0.9999999999998531,3.943635620350154e-13,7-9,lèyì,to be willing to do sth; to be ready to do sth; to be happy to do sth; content; satisfied,Translation,羞愧 | 惭愧 | 气愤 | 难过 | 心疼 | 伤心 | 惋惜 | 难为情 | 痛心 | 委屈 | 难堪 | 生气,0.5
不可避免,0,37,0.28283889813098206,121,-0.002746789101698399,-0.003830086565682319,0.9999999998454001,220,1.5458213071336358e-10,0.999999999690818,6.087290989467839e-10,7-9,bùkě-bìmiǎn,unavoidably,Translation,应该 | 不一定 | 未必 | 迟早 | 不见得 | 照样 | 必然 | 必须 | 能 | 才能 | 只要 | 会,0.0
理所当然,0,37,0.27846812245762875,121,-0.03968323615725666,-0.054998590349774674,0.9999999344898235,121,6.550146382984155e-8,0.9999998689883597,1.918081269670382e-7,7-9,lǐsuǒdāngrán,as it should be by rights (idiom); proper and to be expected as a matter of course; inevitable and right,Translation,一概而论 | 无足轻重 | 无关紧要 | 合情合理 | 见仁见智 | 无可厚非 | 因人而异 | 简单 | 天经地义 | 常理 | 一成不变 | 微不足道,0.5
暂时,0,37,0.27710190177384886,111,0.011955976004726476,0.016269864213844003,0.9999999999936051,220,6.192245130705931e-12,0.9999999999874128,2.877233585438066e-11,5,zànshí,temporary; provisional; for the time being,Translation,应该 | 不一定 | 未必 | 迟早 | 不见得 | 照样 | 必然 | 必须 | 能 | 才能 | 只要 | 会,0.0
毫无,0,37,0.26997613298281975,98,-0.027702263486240164,-0.03794706548352922,0.9999998869992546,73,8.554755217632915e-8,0.9999998014517024,3.327413059505362e-7,7-9,háo wú,not in the least; to completely lack,Translation,情不自禁 | 忍不住 | 眉开眼笑 | 禁不住 | 大声 | 异口同声 | 兴高采烈 | 毫不犹豫 | 不由自主 | 得意扬扬 | 不假思索 | 七嘴八舌,0.25
迟迟,0,37,0.2573356624736359,111,-0.07969428124240457,-0.10730861469374854,0.9999999999958362,220,1.9767481580932302e-12,0.9999999999938595,1.9552289393215716e-11,7-9,chíchí,late (with a task etc); slow,Translation,应该 | 不一定 | 未必 | 迟早 | 不见得 | 照样 | 必然 | 必须 | 能 | 才能 | 只要 | 会,0.0
一概,0,37,0.2550887712646476,229,-0.003877951099310717,-0.005205923806376661,0.9999999997125144,220,2.874601850904548e-10,0.9999999994250542,1.1022092283585372e-9,7-9,yīgài,all; without any exceptions; categorically,Translation,应该 | 不一定 | 未必 | 迟早 | 不见得 | 照样 | 必然 | 必须 | 能 | 才能 | 只要 | 会,0.25
任何,0,37,0.2541653726883605,49,-0.002508880160650817,-0.0033638558318137223,0.9999551743101955,220,0.000044740849754072976,0.9999104334604415,0.00008250635767079297,3,rènhé,any; whatever; whichever; whatsoever,Translation,应该 | 不一定 | 未必 | 迟早 | 不见得 | 照样 | 必然 | 必须 | 能 | 才能 | 只要 | 会,0.0
一时,0,37,0.25054379358937273,216,-0.035206167807889766,-0.04697561712978903,0.9999999864687227,220,7.733616071894062e-9,0.9999999787351066,4.493836604497772e-8,6,yīshí,a period of time; a while; for a short while; temporary; momentary; at the same time,Translation,应该 | 不一定 | 未必 | 迟早 | 不见得 | 照样 | 必然 | 必须 | 能 | 才能 | 只要 | 会,0.25
贯通,1,22,0.3728626276197089,258,0.039648589008545676,0.05946224321514249,0.9999999999999858,258,8.614644650179334e-15,0.9999999999999771,4.893608678703094e-14,7-9,guàntōng,to link up; to thread together,Translation,相连 | 相互 | 相辅相成 | 相通 | 互相 | 重叠 | 紧密 | 衔接 | 脱节 | 之间 | 分开 | 重合,0.25
连接,1,22,0.3445994080492258,258,0.01205089244674834,0.01805508374533945,0.9999999999999574,258,4.117395146188857e-14,0.9999999999999162,2.1893905205610393e-13,5,liánjiē,to link; to join; to connect,Translation,相连 | 相互 | 相辅相成 | 相通 | 互相 | 重叠 | 紧密 | 衔接 | 脱节 | 之间 | 分开 | 重合,0.25
纽带,1,22,0.332807090442202,125,0.03176891837311474,0.045451578474833124,1.0,258,8.209982780371608e-18,1.0,5.393933850470203e-17,7-9,niǔdài,tie; link; bond,Translation,相连 | 相互 | 相辅相成 | 相通 | 互相 | 重叠 | 紧密 | 衔接 | 脱节 | 之间 | 分开 | 重合,0.25
打通,1,22,0.3276416108302288,249,-0.01197095865230563,-0.017804431156257954,1.0,249,3.498222189362287e-19,1.0,2.5706567711050075e-18,7-9,dǎtōng,to open access; to establish contact; to remove a block; to put through (a phone connection),Translation,构建 | 打造 | 拓展 | 搭建 | 推动 | 开拓 | 开创 | 培育 | 开辟 | 探索 | 营造 | 创造,0.0
延伸,1,22,0.322766594304827,249,0.007606664816016129,0.01110721341164842,0.9999999999259472,249,5.495374525163854e-11,0.9999999998709935,3.0912114474945206e-10,5,yánshēn,to extend; to spread,Translation,构建 | 打造 | 拓展 | 搭建 | 推动 | 开拓 | 开创 | 培育 | 开辟 | 探索 | 营造 | 创造,0.0
载体,1,22,0.3114784104139868,230,0.005494605017697107,0.007917113549251573,1.0,125,9.839419800291104e-16,0.999999999999999,6.863657191452294e-15,7-9,zàitǐ,carrier (chemistry); vector (epidemiology); vehicle or medium,Translation,根基 | 底蕴 | 基础 | 精髓 | 后盾 | 内涵 | 优势 | 力量 | 源泉 | 底子 | 支柱 | 软实力,0.0
融合,1,22,0.309966300917696,366,-0.016668190102286817,-0.02415561750745539,0.9999999999781579,258,1.544535629780954e-11,0.9999999999627126,9.54625396740675e-11,6,rónghé,a mixture; an amalgam; fusion; welding together; to be in harmony with (nature); to harmonize with; to fit in,Translation,相连 | 相互 | 相辅相成 | 相通 | 互相 | 重叠 | 紧密 | 衔接 | 脱节 | 之间 | 分开 | 重合,0.25
贯穿,1,22,0.3076153977850499,300,0.012411191755712092,0.01760962801124318,1.0,249,2.1103187658113613e-16,0.9999999999999998,1.2718778958090144e-15,7-9,guànchuān,to run through; a connecting thread from beginning to end; to link,Translation,构建 | 打造 | 拓展 | 搭建 | 推动 | 开拓 | 开创 | 培育 | 开辟 | 探索 | 营造 | 创造,0.0
枢纽,1,22,0.30022499325655766,372,0.026134082531508174,0.036001867062459995,0.9999999999887308,372,1.12693238174151e-11,0.9999999999774615,4.930741505149264e-11,7-9,shūniǔ,hub (e.g. of traffic network); hinge; pivot; fulcrum,Translation,列车 | 公交车 | 火车 | 电车 | 公共汽车 | 货车 | 车辆 | 大巴 | 慢车 | 出租车 | 巴士 | 公路,0.0
脉络,1,22,0.2876403715016236,125,-0.004821234787227624,-0.006767978692715336,1.0,68,5.920480124261956e-27,1.0,7.052275558905074e-26,7-9,màiluò,"arteries and veins; network of blood vessels; vascular system (of a plant or animal); (fig.) fabric (i.e. underlying structure, as in ""social fabric""); overall context",Translation,说法 | 想法 | 意思 | 看法 | 道理 | 用意 | 含义 | 举动 | 涵义 | 做法 | 结论 | 言论,0.25
桥梁,1,22,0.2854277689097822,372,-0.00040723737565967477,-0.0005699037241321442,1.0,18,4.974976564333409e-16,0.9999999999999996,5.156190472456585e-15,6,qiáoliáng,bridge (lit. and fig.),Translation,北部 | 南部 | 东部 | 东南 | 沿岸 | 中部 | 西北 | 西部 | 西南 | 沿海 | 北 | 南,0.25
入口,1,22,0.2778013362444829,263,-0.060203631555612425,-0.0833615936680727,1.0,129,1.5720585062777199e-16,0.9999999999999999,9.56869925881014e-16,2,rùkǒu,entrance; to import,Translation,区域 | 周边 | 横向 | 局部 | 倾斜 | 部分 | 内部 | 边缘 | 内外 | 各个 | 大面积 | 底层,0.5
纵深,1,22,0.272349307283953,163,-0.024760394777572747,-0.03402785845657823,1.0,244,3.50474868465517e-15,0.9999999999999964,1.979092278561176e-14,7-9,zòngshēn,"depth (from front to rear); depth (into a territory); span (of time); (fig.) depth (of deployment, progress, development etc)",Translation,产业 | 建设 | 业务 | 发展 | 运营 | 创新 | 平台 | 战略 | 体系 | 协同 | 项目 | 开发,0.25
一体,1,22,0.2667348902556291,258,0.0164070650312923,0.021885652933833308,0.999999999999929,244,3.8579500160875945e-14,0.9999999999998904,3.579810033354223e-13,7-9,yītǐ,an integral whole; all concerned; everybody,Translation,产业 | 建设 | 业务 | 发展 | 运营 | 创新 | 平台 | 战略 | 体系 | 协同 | 项目 | 开发,0.25
通道,1,22,0.26519367062196053,14,-0.024510214873567082,-0.03335602034663094,0.9999999999970157,129,2.9411430459433256e-12,0.9999999999940746,1.3748199218306493e-11,6,tōngdào,"Tongdao Dong autonomous county in Huaihua 怀化, Hunan; (communications) channel; thoroughfare; passage",Translation,区域 | 周边 | 横向 | 局部 | 倾斜 | 部分 | 内部 | 边缘 | 内外 | 各个 | 大面积 | 底层,0.25
源头,1,22,0.25667865306308507,338,-0.01640101950631051,-0.022064507596742538,1.0,393,1.1466615280761564e-16,0.9999999999999999,1.2607244907787624e-15,7-9,yuántóu,source; fountainhead,Translation,资料 | 依据 | 根据 | 参照 | 统计 | 图表 | 显示 | 数据 | 相关 | 如下 | 参考 | 报告,0.5
遍布,1,22,0.25396677810761076,163,-0.09256399547056637,-0.1240748974097539,1.0,55,3.518572616838792e-20,1.0,3.882949109502456e-19,7-9,biànbù,to cover the whole (area); to be found throughout,Translation,弥漫 | 洋溢 | 笼罩 | 充满 | 扑面而来 | 浓重 | 散发 | 浮现 | 流露 | 焕发 | 布满 | 朦胧,0.0
分支,1,22,0.2526294346879092,173,-0.015067314372204932,-0.020160433219514058,1.0,339,6.311377031757937e-19,1.0,4.491196919392764e-18,7-9,fēnzhī,"branch (of company, river etc); to branch; to diverge; to ramify; to subdivide",Translation,儒学 | 儒家 | 佛教 | 道教 | 宗教 | 古代 | 哲学 | 文人 | 古典 | 文学 | 基督教 | 近代,0.0
前沿,1,22,0.2379737250478644,14,-0.011830288916502507,-0.015524778220075931,0.9999999998649827,244,1.3501441644836063e-10,0.9999999997299682,5.346651183768489e-10,7-9,qiányán,"front-line; forward position; outpost; extending ahead; frontier (of science, technology etc)",Translation,产业 | 建设 | 业务 | 发展 | 运营 | 创新 | 平台 | 战略 | 体系 | 协同 | 项目 | 开发,0.25
有机,1,22,0.2307359525720814,243,-0.05578897863074439,-0.07252253477499468,0.999999999999929,243,6.785262296114038e-14,0.9999999999998611,3.6349819814930544e-13,7-9,yǒujī,organic,Translation,蛋白质 | 脂肪 | 含量 | 富含 | 钙 | 热量 | 液体 | 食物 | 含有 | 氧气 | 有毒 | 水分,0.5
传播,1,22,0.22729581530972498,182,-0.07196365458576415,-0.09313221800993549,1.0,10,1.3444963421924146e-17,1.0,8.724051490755836e-17,3,chuánbō,to disseminate; to propagate; to spread,Translation,诈骗 | 贿赂 | 受贿 | 贪污 | 敲诈 | 欺诈 | 违法 | 盗窃 | 非法 | 犯罪 | 假冒 | 倒卖,0.0
空白,1,22,0.2007778937573849,338,-0.05411021633707089,-0.06770360318417544,1.0,287,1.7622373519249633e-20,1.0,1.518208230696361e-19,7-9,kòngbái,blank space,Translation,处于 | 处在 | 缺乏 | 陷入 | 面临 | 欠缺 | 缺失 | 低迷 | 缺少 | 薄弱 | 徘徊 | 存在,0.5
发愁,2,24,0.46707688439769784,224,0.08742646237214813,0.14093096130992913,1.0,398,1.4084369788507492e-25,1.0,1.3838084381562132e-24,7-9,fāchóu,to worry; to fret; to be anxious; to become sad,Translation,好说 | 不行 | 不要紧 | 没关系 | 没用 | 说不上 | 离谱儿 | 实话 | 碍事 | 没什么 | 难说 | 晓得,0.75
着急,2,24,0.4661058752437531,224,0.010721016560420515,0.0196854911791494,1.0,128,2.993877660718581e-18,1.0,2.081912621704053e-17,4,zháojí,to worry; to feel anxious; to feel a sense of urgency; to be in a hurry; Taiwan pr. [zhāo jí],Translation,慌张 | 迟疑 | 茫然 | 惊慌 | 慌乱 | 胆怯 | 犹豫 | 畏缩 | 惊慌失措 | 畏惧 | 漠然 | 犹豫不决,0.5
焦急,2,24,0.46062617699327946,355,-0.009550129441696531,-0.017705956489433742,1.0,128,3.841243074707401e-18,1.0,2.5709824145871372e-17,7-9,jiāojí,anxiety; anxious,Translation,慌张 | 迟疑 | 茫然 | 惊慌 | 慌乱 | 胆怯 | 犹豫 | 畏缩 | 惊慌失措 | 畏惧 | 漠然 | 犹豫不决,0.25
愁眉苦脸,2,24,0.4576818322218594,16,0.02477070920402419,0.04368047092696423,1.0,128,2.0060106267835086e-19,1.0,2.7613484213769633e-18,7-9,chóuméi-kǔliǎn,to look anxious (idiom); to look miserable,Translation,慌张 | 迟疑 | 茫然 | 惊慌 | 慌乱 | 胆怯 | 犹豫 | 畏缩 | 惊慌失措 | 畏惧 | 漠然 | 犹豫不决,0.25
犯愁,2,24,0.450609206856463,224,0.09032915969568112,0.14120109790976568,1.0,398,3.165007965722106e-24,1.0,2.9037298387051314e-23,7-9,fànchóu,to worry; to be anxious,Translation,好说 | 不行 | 不要紧 | 没关系 | 没用 | 说不上 | 离谱儿 | 实话 | 碍事 | 没什么 | 难说 | 晓得,0.75
心慌,2,24,0.4415125736812468,250,-0.0508053985893,-0.09096963726503511,0.999999999997442,364,2.556251373568826e-12,0.9999999999948858,1.1816715956806944e-11,7-9,xīnhuāng,to be flustered; (dialect) irregular heart-beat,Translation,疲倦 | 孤独 | 烦闷 | 寂寞 | 烦躁 | 疲惫 | 孤单 | 忧愁 | 消沉 | 忧郁 | 抑郁 | 无聊,0.25
心急如焚,2,24,0.43825921020744196,57,0.07750766128301623,0.12124810181800971,1.0,396,4.0999203873878394e-26,1.0,4.1340545770216103e-25,7-9,xīnjí-rúfén,to burn with impatience; torn with anxiety,Translation,惊讶 | 诧异 | 吃惊 | 惊诧 | 惊奇 | 惊叹 | 不解 | 欣喜 | 迷惑不解 | 疑惑 | 大吃一惊 | 目瞪口呆,0.5
头疼,2,24,0.4372776803159601,391,0.03536363711495266,0.059128017825768625,1.0,355,2.8686701634375677e-25,1.0,3.05100378138656e-24,6,tóuténg,headache,Translation,忧虑 | 恐惧 | 不安 | 焦虑 | 沮丧 | 怨恨 | 焦躁 | 担忧 | 苦恼 | 困惑 | 疑虑 | 恐慌,0.75
疲惫不堪,2,24,0.4349864753298157,364,0.02424084538703869,0.04113816819837025,0.9999999999823359,364,1.7660037308466115e-11,0.9999999999646759,7.592828287862099e-11,7-9,píbèi-bùkān,exhausted; fatigued to the extreme,Translation,疲倦 | 孤独 | 烦闷 | 寂寞 | 烦躁 | 疲惫 | 孤单 | 忧愁 | 消沉 | 忧郁 | 抑郁 | 无聊,0.0
伤脑筋,2,24,0.4326599246464051,224,0.0333091262916575,0.055455207799194085,1.0,136,6.866341768566774e-21,1.0,6.61303139648583e-20,7-9,shāng nǎojīn,to be a real headache; to find sth a real headache; to beat one's brains,Translation,艰巨 | 艰难 | 紧迫 | 繁重 | 严峻 | 困难 | 急迫 | 艰险 | 棘手 | 艰苦 | 迫切 | 危险,0.75
提心吊胆,2,24,0.42795991855094606,224,0.06384154801104985,0.1003984783539895,1.0,391,7.099194637274392e-22,1.0,8.199633422404252e-21,7-9,tíxīn-diàodǎn,(saying) to be very scared and on edge,Translation,难受 | 疼 | 够呛 | 厉害 | 受不了 | 倒霉 | 要命 | 惨 | 没辙 | 丢人 | 恶心 | 完蛋,0.75
一筹莫展,2,24,0.42661187482890756,396,0.080950243262646,0.12371312331326866,1.0,308,5.343454472556524e-23,1.0,5.514086051271069e-22,7-9,yīchóu-mòzhǎn,to be unable to find a solution; to be at wits' end,Translation,衰弱 | 紊乱 | 虚弱 | 崩溃 | 衰退 | 恶化 | 萎缩 | 瘫痪 | 脆弱 | 严重 | 衰竭 | 松弛,0.25
精疲力竭,2,24,0.42521567948784034,27,0.02694590198163377,0.044780702338599515,1.0,364,1.904965150370425e-17,1.0,1.224077583959908e-16,7-9,jīngpí-lìjié,"spirit weary, strength exhausted (idiom); spent; drained; washed out",Translation,疲倦 | 孤独 | 烦闷 | 寂寞 | 烦躁 | 疲惫 | 孤单 | 忧愁 | 消沉 | 忧郁 | 抑郁 | 无聊,0.0
垂头丧气,2,24,0.42034426851589574,224,-0.014956827281510043,-0.025802949007707847,0.9999999999998437,128,1.5751182109716345e-13,0.9999999999996861,8.02021577845605e-13,7-9,chuítóu-sàngqì,hanging one's head dispiritedly (idiom); dejected; crestfallen,Translation,慌张 | 迟疑 | 茫然 | 惊慌 | 慌乱 | 胆怯 | 犹豫 | 畏缩 | 惊慌失措 | 畏惧 | 漠然 | 犹豫不决,0.25
忙乱,2,24,0.4173763965698149,332,-0.014761805477172485,-0.025336778994641804,1.0,128,1.1906451150416537e-21,1.0,9.721736906683825e-21,7-9,mángluàn,rushed and muddled,Translation,慌张 | 迟疑 | 茫然 | 惊慌 | 慌乱 | 胆怯 | 犹豫 | 畏缩 | 惊慌失措 | 畏惧 | 漠然 | 犹豫不决,0.5
无精打采,2,24,0.4146259328970879,364,0.027054572557423662,0.04417587749068785,0.9999999999999716,128,2.123280813434167e-14,0.9999999999999504,1.6968849464405302e-13,7-9,wújīng-dǎcǎi,dispirited and downcast (idiom); listless; in low spirits; washed out,Translation,慌张 | 迟疑 | 茫然 | 惊慌 | 慌乱 | 胆怯 | 犹豫 | 畏缩 | 惊慌失措 | 畏惧 | 漠然 | 犹豫不决,0.0
